Train dataset: data/regression/data.activation.train.100.csv
Test dataset: data/regression/data.activation.test.100.csv
Layers: [1, 2, 1]
Test dataset: 0
Seed: 12020122
Learning rate: 0.1
Activation function: sigmoid
Output function: indentity
Problem type: regression
Epochs: 300
Epochs;Loss (mse);Loss (msle)
5;0.004159401608811618;0.031246426334447866
10;0.003263856124238008;0.034376033035041574
15;0.0017368529059270084;0.03397301204802169
20;0.0010102608109431913;0.03523450811506222
25;0.0004122471216435306;0.0325655749318935
30;0.00020269769551770487;0.031802678315369176
35;9.685630700421726e-05;0.027979412605262783
40;5.073366450552089e-05;0.026326813917688412
45;2.3905688081647804e-05;0.0231518707641217
50;1.220053248524975e-05;0.0185371284201083
55;6.613944650062561e-06;0.016105561794373432
60;2.8888202261243437e-06;0.013313277806307361
65;1.4176593453151583e-06;0.010551246933650726
70;7.268667588609432e-07;0.008551101243990276
75;3.6620513391164417e-07;0.006580918828916932
80;1.9466622741425883e-07;0.005462531068462043
85;9.850340180270537e-08;0.003921097980273527
90;4.589540021273877e-08;0.0030710042229202114
95;2.361991392522854e-08;0.0023608993072521197
100;1.1087758466050796e-08;0.0017106362045655266
105;6.113829956189858e-09;0.0013822497748523885
110;2.6070088548213518e-09;0.0010249914741423095
115;1.3961711439278196e-09;0.0008446366378435134
120;4.2747772182611575e-10;0.0005967867056744949
125;2.773510743456055e-10;0.0005122086604017451
130;1.2302871168977526e-10;0.0004598422313118412
135;3.7925913733180676e-10;inf
140;7.79681284600415e-11;inf
145;2.268427321615789e-10;inf
150;1.04107587751545e-10;0.00042891610784963065
155;6.222648010079132e-11;inf
160;8.001412526528935e-11;0.0004101785541654173
165;8.262809290814146e-11;inf
170;4.211823822382831e-11;inf
175;1.8628388250150408e-10;inf
180;1.1271274412857416e-10;inf
185;6.436969169737278e-11;inf
190;2.3328189013436586e-10;inf
195;1.5476982725231047e-10;inf
200;1.647099109425836e-10;inf
205;2.521209242376777e-10;inf
210;5.008950640344609e-11;inf
215;1.1296668808959907e-10;inf
220;8.091417845852723e-11;0.00040253872516582737
225;1.856048249512005e-10;inf
230;5.381650431785088e-11;inf
235;5.038307672484547e-11;inf
240;5.475780086142935e-10;inf
245;5.6501000325050865e-11;inf
250;2.981127900616185e-10;inf
255;6.976655587501067e-11;inf
260;1.9212917532794626e-10;inf
265;6.997310615611358e-11;inf
270;9.202634960893482e-11;inf
275;5.2033619209381814e-11;inf
280;7.339644648240928e-11;inf
285;8.482902989894693e-11;inf
290;9.708281756554972e-11;inf
295;2.164701304127619e-10;inf
300;1.7291300150637481e-10;0.00040009348019302946
