Train dataset: data/regression/data.activation.train.100.csv
Test dataset: data/regression/data.activation.test.100.csv
Layers: [1, 64, 32, 16, 8, 1]
Test dataset: 1
Seed: 12020122
Learning rate: 0.1
Activation function: sigmoid
Output function: indentity
Problem type: regression
Epochs: 300
Epochs;Loss (mse);Loss (msle)
5;0.2039147536901064;inf
10;0.015984658177868864;inf
15;0.0015107259511236918;inf
20;0.001593239307949575;inf
25;0.0017365196135047764;inf
30;0.0017466792988557976;inf
35;0.0017843772996184518;inf
40;0.0018071848655603622;inf
45;0.0028556857152595666;inf
50;0.0014514420956397013;inf
55;0.001558806276137273;inf
60;0.0017754953320083247;inf
65;0.0014747696181631367;inf
70;0.0015943487411524935;inf
75;0.0021062107794799375;inf
80;0.001625200679496011;inf
85;0.0013017237982565386;inf
90;0.001999233596188665;inf
95;0.0012303995269043206;inf
100;0.0012283467497721076;inf
105;0.0012839821249430458;inf
110;0.000982412330280464;inf
115;0.001174058769429233;inf
120;0.0009441032609563062;inf
125;0.0011407924562892612;inf
130;0.0009606464372128795;inf
135;0.0008513854278966905;inf
140;0.0012208013042739844;inf
145;0.0008466637954425482;inf
150;0.0009530266100320906;inf
155;0.0009886579552899162;inf
160;0.000895625925386104;inf
165;0.0009889627942829193;inf
170;0.0006967551378750967;inf
175;0.0008646556524118955;inf
180;0.0008458910781036218;inf
185;0.0007570073917134048;inf
190;0.0006404836908661867;inf
195;0.0008415554081386118;inf
200;0.0006884815314273686;inf
205;0.0005644236494498657;inf
210;0.0005493820086630124;inf
215;0.0005544248429676088;inf
220;0.0006591102235479701;inf
225;0.0003997386074236036;inf
230;0.0005309928250694552;inf
235;0.0005408228731224157;inf
240;0.0005369369348136145;inf
245;0.00047492858935285754;inf
250;0.00045290916300370996;inf
255;0.000306288497865727;inf
260;0.0003992233021871568;inf
265;0.0004156349378212668;inf
270;0.0003219638437468261;inf
275;0.0003143839359938107;inf
280;0.000370291585422687;inf
285;0.0004105401509824709;inf
290;0.00028726192020939195;inf
295;0.00027876677375476274;inf
300;0.00037633506481967377;inf
