Train dataset: data/regression/data.activation.train.1000.csv
Test dataset: data/regression/data.activation.test.1000.csv
Layers: [1, 4, 2, 1]
Test dataset: 0
Seed: 12020122
Learning rate: 0.1
Activation function: sigmoid
Output function: indentity
Problem type: regression
Epochs: 300
Epochs;Loss (mse);Loss (msle)
5;0.0025178912060750485;inf
10;0.001948088667229655;inf
15;0.0016308589017469764;inf
20;0.0011695944259536223;inf
25;0.0010148487381025067;inf
30;0.0008476693303166903;inf
35;0.0006200172145737126;inf
40;0.0005150086588175329;inf
45;0.0004244950124279;inf
50;0.00038781426946867117;inf
55;0.00026820256817309006;inf
60;0.000255199871959091;inf
65;0.0001905932277299046;inf
70;0.00015056655330518388;inf
75;0.00012553489409609423;inf
80;0.00010948754192894148;inf
85;8.641839839005414e-05;inf
90;7.815368607624688e-05;inf
95;5.6312784319253715e-05;inf
100;5.6694805015505614e-05;inf
105;4.8353535011326375e-05;inf
110;3.6907518538513564e-05;inf
115;3.1796466882398816e-05;inf
120;3.0471630655425672e-05;inf
125;3.0287784671460176e-05;inf
130;2.265328079974268e-05;inf
135;1.9581986414564936e-05;inf
140;2.24585931138407e-05;inf
145;1.9741087569873234e-05;inf
150;1.6530059611150085e-05;inf
155;1.4720713081958092e-05;inf
160;1.7804686407059834e-05;inf
165;1.8032851522438576e-05;inf
170;1.4644859904081445e-05;0.01077078684583131
175;1.3938543989569181e-05;0.005318234335119516
180;1.2864125955341447e-05;0.0059332099924785855
185;1.2388456659031314e-05;0.005301923411193214
190;1.294458535667003e-05;0.005474339162685882
195;1.1633272774372861e-05;0.0052939114814857455
200;1.186709212249162e-05;0.005317373023634807
205;1.2740592209442057e-05;0.005195723230813927
210;1.0181294053522891e-05;0.005204678889121147
215;9.608144574711412e-06;0.005778660164412205
220;9.082249840010288e-06;0.005828602620537936
225;8.46323974073067e-06;0.006458266437038072
230;8.27280976656268e-06;0.006660956753396896
235;1.0416884284306351e-05;0.005685216364022966
240;7.995763463811553e-06;0.006001135675741337
245;8.432637910645056e-06;0.006376981655241971
250;7.600955441401405e-06;0.0061261496816188855
255;7.419952158016914e-06;0.007128921730424157
260;6.355431955445269e-06;0.00767654116417509
265;6.89583904001708e-06;0.006845410326225391
270;7.384516048676819e-06;0.006772930894166483
275;6.951379882318937e-06;0.007019450388570896
280;7.301057238867503e-06;0.006245824525547755
285;7.4412198129807975e-06;0.005981555764571331
290;8.443105364482132e-06;0.005752417070910344
295;5.808245816682808e-06;0.007428586599914587
300;7.816766904239196e-06;0.005884750013299713
