Train dataset: data/regression/data.activation.train.100.csv
Test dataset: data/regression/data.activation.test.100.csv
Layers: [1, 256, 128, 64, 32, 1]
Test dataset: 0
Seed: 12020122
Learning rate: 0.1
Activation function: sigmoid
Output function: indentity
Problem type: regression
Epochs: 300
Epochs;Loss (mse);Loss (msle)
5;0.047655184817071476;inf
10;0.0009688772041943408;inf
15;0.0008596798110138312;inf
20;0.000592268966290592;inf
25;0.0006079138159639229;inf
30;0.0005961850861333972;inf
35;0.0005650655692991412;inf
40;0.0007360321917670886;inf
45;0.0015793649404135998;inf
50;0.0004882814933672443;inf
55;0.0005867151284663196;inf
60;0.0011744795963366985;inf
65;0.0006680420408688093;inf
70;0.0005426798261372175;inf
75;0.0008939697576047135;inf
80;0.0005382117323657894;inf
85;0.00044969284715470594;inf
90;0.0009964453021232068;inf
95;0.0004513591246984884;inf
100;0.00045912868134166906;inf
105;0.0006542323478623392;inf
110;0.0005082733631177433;inf
115;0.0004170390152357272;inf
120;0.00039207585225069203;inf
125;0.00042969360630691877;inf
130;0.0005477204115665424;inf
135;0.0003609056225143206;inf
140;0.0006524484046588746;inf
145;0.0003337202697356323;inf
150;0.00039239331120716897;inf
155;0.0006288578519248296;inf
160;0.0006782244489523714;inf
165;0.0006507792120911342;inf
170;0.0002909282108271047;inf
175;0.0004731283124883505;inf
180;0.0005190384282666586;inf
185;0.000565878392832516;inf
190;0.00024148927562969775;inf
195;0.0005133605572587282;inf
200;0.0003077886758245815;inf
205;0.0002460849488161285;inf
210;0.00024185840912421865;inf
215;0.00023351917938877986;inf
220;0.0005076819597446022;inf
225;0.00020623946479059023;inf
230;0.00021059633061109654;inf
235;0.0003051260214019709;inf
240;0.00046125359189306967;inf
245;0.0002187305755094007;inf
250;0.0003417431013322438;inf
255;0.00015670247890755531;inf
260;0.00024542401620183295;inf
265;0.00034791387256002715;inf
270;0.0003467710774692245;inf
275;0.00017385975077223833;inf
280;0.00021774820128098358;inf
285;0.00041290065160199427;inf
290;0.00018009480158763424;inf
295;0.0001763127900285055;inf
300;0.00036231049507435306;inf
