Train dataset: data/regression/data.cube.train.100.csv
Test dataset: data/regression/data.cube.test.100.csv
Layers: [1, 2, 1] with biases
Seed: 12020122
Epochs	Loss
10	0.13301825190753025
20	1.2300995092599515e-05
30	1.079255339906231e-09
40	9.399431706679828e-14
50	8.170287714528917e-18
60	7.096619619374104e-22
70	6.161860839805291e-26
80	5.3491830657421076e-30
90	4.643138522727081e-34
100	4.029976239246439e-38
