Train dataset: data/regression/data.activation.train.100.csv
Test dataset: data/regression/data.activation.test.100.csv
Layers: [1, 32, 16, 8, 1]
Test dataset: 0
Seed: 12020122
Learning rate: 0.1
Activation function: sigmoid
Output function: indentity
Problem type: regression
Epochs: 300
Epochs;Loss (mse);Loss (msle)
5;0.10460619026292814;inf
10;0.002263438286281098;inf
15;0.0016874229849412655;inf
20;0.0012857683873251959;inf
25;0.0013990802444601269;inf
30;0.0012375647838860128;inf
35;0.001177552679862679;inf
40;0.001110591212459575;inf
45;0.0014814526820778932;inf
50;0.0008390019611375946;inf
55;0.00089624157724487;inf
60;0.0009985645381579544;inf
65;0.0008079292069837723;inf
70;0.0008784872760026879;inf
75;0.0010458147142494724;inf
80;0.0009119477372300311;inf
85;0.0007303914712684965;inf
90;0.001020380041154204;inf
95;0.0007284436996699895;inf
100;0.0006908201477664947;inf
105;0.0007502808209640307;inf
110;0.0005866030393197619;inf
115;0.0006680228622010484;inf
120;0.000550718953735032;inf
125;0.0006466348680525943;inf
130;0.0005852043561858858;inf
135;0.000540438485356501;inf
140;0.0007337781735283161;inf
145;0.0005173877984116562;inf
150;0.0005621630081545248;inf
155;0.0005706310666676235;inf
160;0.0005512114958553512;inf
165;0.0006382301828073543;inf
170;0.0004492851626637571;inf
175;0.0005335666540426324;inf
180;0.0005345519844191671;inf
185;0.0004727730121250566;inf
190;0.00044526359091768804;inf
195;0.0005722541722376957;inf
200;0.0004205790423606607;inf
205;0.00039080258626656106;inf
210;0.0003905440394358481;inf
215;0.00038775873757486906;inf
220;0.00044838119413885904;inf
225;0.0003021980702350994;inf
230;0.0003902404022065998;inf
235;0.0003899168596835268;inf
240;0.0004020969537815768;inf
245;0.00035027872111196526;inf
250;0.00034417646062815527;inf
255;0.0002503565907650857;inf
260;0.00033994173073217;inf
265;0.0003594501012700806;inf
270;0.00026829716754599235;inf
275;0.0002590924746584871;inf
280;0.00030043789694613984;inf
285;0.00031708380282695185;inf
290;0.00024667837069610084;inf
295;0.00025771853954702304;inf
300;0.00034086191835814005;inf
