Train dataset: data/regression/data.activation.train.100.csv
Test dataset: data/regression/data.activation.test.100.csv
Layers: [1, 64, 32, 16, 8, 1]
Test dataset: 0
Seed: 12020122
Learning rate: 0.1
Activation function: sigmoid
Output function: indentity
Problem type: regression
Epochs: 300
Epochs;Loss (mse);Loss (msle)
5;0.2276563173716219;inf
10;0.028886975988894437;inf
15;0.0012294336332064277;inf
20;0.00095368038751077;inf
25;0.0010668577200049544;inf
30;0.0010073336692280937;inf
35;0.0009625682995609493;inf
40;0.0009392675698732306;inf
45;0.0013955559447048143;inf
50;0.0007095602857294913;inf
55;0.0007843615220399652;inf
60;0.000935849412143755;inf
65;0.0007066653879586557;inf
70;0.0007905266589811208;inf
75;0.000997766485321969;inf
80;0.0008747769215893859;inf
85;0.0006632681444761052;inf
90;0.0010207853764220413;inf
95;0.0006685602384496256;inf
100;0.00064047463760545;inf
105;0.0007104741401741108;inf
110;0.0005334355268306675;inf
115;0.0006267917621145498;inf
120;0.0004995746440685941;inf
125;0.0006174740464395237;inf
130;0.0005426332555989941;inf
135;0.0005021830066530789;inf
140;0.000739127464018164;inf
145;0.0004839661701236348;inf
150;0.0005375234333449132;inf
155;0.0005510994244209636;inf
160;0.000536555933378877;inf
165;0.0006479828139677461;inf
170;0.00042841754527991096;inf
175;0.0005277078740642975;inf
180;0.0005406877317144575;inf
185;0.00046614849762680266;inf
190;0.0004255812631744499;inf
195;0.0005853000164004043;inf
200;0.00041370154911559115;inf
205;0.0003716837497584504;inf
210;0.00037193250347668455;inf
215;0.000379535419104337;inf
220;0.00044352858315050456;inf
225;0.0002822718173465943;inf
230;0.00038493392187705756;inf
235;0.00038948150819347516;inf
240;0.0003994237330961064;inf
245;0.00033823800382048504;inf
250;0.0003316672112534321;inf
255;0.00023021749397073441;inf
260;0.00033295703095401007;inf
265;0.00034980431104687614;inf
270;0.00024922700434951264;inf
275;0.0002437626110320361;inf
280;0.000290416126063592;inf
285;0.0003074478015607218;inf
290;0.00022891187520784678;inf
295;0.00024187116073132287;inf
300;0.0003349323334355387;inf
