Train dataset: data/regression/data.activation.train.1000.csv
Test dataset: data/regression/data.activation.test.1000.csv
Layers: [1, 64, 32, 1]
Test dataset: 1
Seed: 12020122
Learning rate: 0.1
Activation function: sigmoid
Output function: indentity
Problem type: regression
Epochs: 300
Epochs;Loss (mse);Loss (msle)
5;0.00020874890761903977;0.01206295890847562
10;8.25035616064845e-05;0.014610920418190862
15;0.00015504167246480953;0.012474944835579403
20;5.483530474801411e-05;0.012014527475348435
25;6.609580412133906e-05;0.008845274970176845
30;7.406226500611049e-05;0.010139685155171916
35;2.598976553841053e-05;0.012140322997751307
40;2.345760367579361e-05;inf
45;1.367744846642187e-05;0.005926273466887074
50;1.055639208514831e-05;0.00482165874429855
55;9.247640891142832e-06;0.004897859330708358
60;8.741581399846838e-06;inf
65;1.8458348158684362e-05;inf
70;1.0086481798818147e-05;inf
75;1.247167010900748e-05;inf
80;1.393696863168509e-05;inf
85;1.8439360280985185e-05;inf
90;1.1325831741254574e-05;inf
95;7.310369627351133e-06;inf
100;5.257645753825988e-06;inf
105;1.3224126749612351e-05;inf
110;1.4820055753414774e-05;inf
115;6.442025691249964e-06;inf
120;1.3486885620400461e-05;inf
125;5.5366229007813186e-06;inf
130;1.352244812011626e-05;inf
135;1.3475471668237703e-05;inf
140;1.1529070427746115e-05;inf
145;4.547213288314234e-06;inf
150;4.111344463544908e-06;inf
155;4.939912205100338e-06;inf
160;3.818009214699012e-06;inf
165;9.621441370429146e-06;inf
170;4.011101105683085e-06;inf
175;3.6472048585549015e-06;inf
180;9.072782843878901e-06;inf
185;1.2050141216861584e-05;inf
190;1.1647280771001579e-05;inf
195;8.775209557668218e-06;inf
200;9.363906426124002e-06;inf
205;8.049178511637335e-06;inf
210;8.965786905116173e-06;inf
215;4.961768908135221e-06;inf
220;4.912916694220061e-06;inf
225;5.527425380425867e-06;inf
230;9.479701084202491e-06;inf
235;6.255280612457342e-06;inf
240;3.8721994989520486e-06;inf
245;8.542865103707932e-06;inf
250;3.822136847848772e-06;inf
255;2.894398103596372e-06;inf
260;3.1909035485060585e-06;inf
265;9.520861926217023e-06;inf
270;4.570995732082015e-06;inf
275;6.795374352798621e-06;inf
280;3.982987167757385e-06;inf
285;3.962440587376596e-06;inf
290;2.8102899480539445e-06;inf
295;6.580717124766248e-06;inf
300;4.182673559876692e-06;inf
