Train dataset: data/regression/data.activation.train.100.csv
Test dataset: data/regression/data.activation.test.100.csv
Layers: [1, 16, 8, 1]
Test dataset: 1
Seed: 12020122
Learning rate: 0.1
Activation function: sigmoid
Output function: indentity
Problem type: regression
Epochs: 300
Epochs;Loss (mse);Loss (msle)
5;0.0010209045989222252;inf
10;0.0007189188371766759;inf
15;0.0014532332489590317;inf
20;0.000603318198168174;inf
25;0.0009574495737944036;inf
30;0.0007759252780745088;inf
35;0.0007910636879190144;inf
40;0.0006772738426611522;inf
45;0.0006890691924810473;inf
50;0.000499756170541884;inf
55;0.0004759144077141662;inf
60;0.0004295684037574605;inf
65;0.0003124468455026865;inf
70;0.0003224024279796718;inf
75;0.0004935732156527864;inf
80;0.00027903339275610356;inf
85;0.000266713373383765;inf
90;0.0003793674269617703;inf
95;0.00022976319328809626;inf
100;0.0002686740414922911;inf
105;0.00026799148817910476;inf
110;0.00020499280445131172;inf
115;0.00026999532603974976;inf
120;0.0002028423286057615;inf
125;0.00024014284338824877;inf
130;0.00023071200890520632;inf
135;0.00019322372370692936;inf
140;0.00030148804941616564;inf
145;0.00019755663836428438;inf
150;0.0002282749279525137;inf
155;0.00023537995261390494;inf
160;0.00023331124525855654;inf
165;0.00027590671316773637;inf
170;0.00016136098471866483;inf
175;0.00020406298629373613;inf
180;0.00021441752024364548;inf
185;0.00021353640284807015;inf
190;0.0001536946117342711;inf
195;0.0002535073935482146;inf
200;0.00017665018244920717;inf
205;0.0001649349334768775;inf
210;0.00015809403385913897;inf
215;0.00014748670379175662;inf
220;0.00020320061444341358;inf
225;0.00011654351301376295;inf
230;0.00015356567311065091;inf
235;0.000172963676379924;inf
240;0.0001803411004888533;inf
245;0.0001457498773841159;inf
250;0.00014895546701977123;inf
255;9.566423747696909e-05;inf
260;0.00015106394582702445;inf
265;0.0001538652766785566;inf
270;0.00011169869272008591;inf
275;0.00010809261219936864;inf
280;0.00013427569019835848;inf
285;0.0001610697035937134;inf
290;0.00010086133603433222;inf
295;0.00011565426003971424;inf
300;0.00015509381575893515;inf
