Train dataset: data/classification/data.three_gauss.train.1000.csv
Test dataset: data/classification/data.three_gauss.test.1000.csv
Layers: [2, 64, 32, 16, 8, 3]
Test dataset: 1
Seed: 12020122
Learning rate: 0.1
Activation function: indentity
Output function: softmax
Problem type: classification
Epochs: 300
Epochs;Loss (cross_entropy);Loss (hinge);Accuracy
5;-0.0005999999703503223;0.6666666666666666;33.33333333333333
10;-0.0005999999703503223;0.6666666666666666;33.33333333333333
15;-0.0005999999703503223;0.6666666666666666;33.33333333333333
20;-0.0005999999703503223;0.6666666666666666;33.33333333333333
25;-0.0005999999703503223;0.6666666666666666;33.33333333333333
30;-0.0005999999703503223;0.6666666666666666;33.33333333333333
35;-0.0005999999703503223;0.6666666666666666;33.33333333333333
40;-0.0005999999703503223;0.6666666666666666;33.33333333333333
45;-0.0005999999703503223;0.6666666666666666;33.33333333333333
50;-0.0005999999703503223;0.6666666666666666;33.33333333333333
55;-0.0005999999703503223;0.6666666666666666;33.33333333333333
60;-0.0005999999703503223;0.6666666666666666;33.33333333333333
65;-0.0005999999703503223;0.6666666666666666;33.33333333333333
70;-0.0005999999703503223;0.6666666666666666;33.33333333333333
75;-0.0005999999703503223;0.6666666666666666;33.33333333333333
80;-0.0005999999703503223;0.6666666666666666;33.33333333333333
85;-0.0005999999703503223;0.6666666666666666;33.33333333333333
90;-0.0005999999703503223;0.6666666666666666;33.33333333333333
95;-0.0005999999703503223;0.6666666666666666;33.33333333333333
100;-0.0005999999703503223;0.6666666666666666;33.33333333333333
105;-0.0005999999703503223;0.6666666666666666;33.33333333333333
110;-0.0005999999703503223;0.6666666666666666;33.33333333333333
115;-0.0005999999703503223;0.6666666666666666;33.33333333333333
120;-0.0005999999703503223;0.6666666666666666;33.33333333333333
125;-0.0005999999703503223;0.6666666666666666;33.33333333333333
130;-0.0005999999703503223;0.6666666666666666;33.33333333333333
135;-0.0005999999703503223;0.6666666666666666;33.33333333333333
140;-0.0005999999703503223;0.6666666666666666;33.33333333333333
145;-0.0005999999703503223;0.6666666666666666;33.33333333333333
150;-0.0005999999703503223;0.6666666666666666;33.33333333333333
155;-0.0005999999703503223;0.6666666666666666;33.33333333333333
160;-0.0005999999703503223;0.6666666666666666;33.33333333333333
165;-0.0005999999703503223;0.6666666666666666;33.33333333333333
170;-0.0005999999703503223;0.6666666666666666;33.33333333333333
175;-0.0005999999703503223;0.6666666666666666;33.33333333333333
180;-0.0005999999703503223;0.6666666666666666;33.33333333333333
185;-0.0005999999703503223;0.6666666666666666;33.33333333333333
190;-0.0005999999703503223;0.6666666666666666;33.33333333333333
195;-0.0005999999703503223;0.6666666666666666;33.33333333333333
200;-0.0005999999703503223;0.6666666666666666;33.33333333333333
205;-0.0005999999703503223;0.6666666666666666;33.33333333333333
210;-0.0005999999703503223;0.6666666666666666;33.33333333333333
215;-0.0005999999703503223;0.6666666666666666;33.33333333333333
220;-0.0005999999703503223;0.6666666666666666;33.33333333333333
225;-0.0005999999703503223;0.6666666666666666;33.33333333333333
230;-0.0005999999703503223;0.6666666666666666;33.33333333333333
235;-0.0005999999703503223;0.6666666666666666;33.33333333333333
240;-0.0005999999703503223;0.6666666666666666;33.33333333333333
245;-0.0005999999703503223;0.6666666666666666;33.33333333333333
250;-0.0005999999703503223;0.6666666666666666;33.33333333333333
255;-0.0005999999703503223;0.6666666666666666;33.33333333333333
260;-0.0005999999703503223;0.6666666666666666;33.33333333333333
265;-0.0005999999703503223;0.6666666666666666;33.33333333333333
270;-0.0005999999703503223;0.6666666666666666;33.33333333333333
275;-0.0005999999703503223;0.6666666666666666;33.33333333333333
280;-0.0005999999703503223;0.6666666666666666;33.33333333333333
285;-0.0005999999703503223;0.6666666666666666;33.33333333333333
290;-0.0005999999703503223;0.6666666666666666;33.33333333333333
295;-0.0005999999703503223;0.6666666666666666;33.33333333333333
300;-0.0005999999703503223;0.6666666666666666;33.33333333333333
