Train dataset: data/regression/data.activation.train.100.csv
Test dataset: data/regression/data.activation.test.100.csv
Layers: [1, 16, 8, 4, 2, 1]
Test dataset: 0
Seed: 12020122
Learning rate: 0.1
Activation function: sigmoid
Output function: indentity
Problem type: regression
Epochs: 300
Epochs;Loss (mse);Loss (msle)
5;0.20643489723638625;inf
10;0.12639371946361755;inf
15;0.05838365991565623;inf
20;0.006835617225498288;inf
25;0.003600869873033595;inf
30;0.0031910012127752147;inf
35;0.0031812686540639104;inf
40;0.0031802694887080366;inf
45;0.003720930039503445;inf
50;0.0028359926390296034;inf
55;0.0029151099446243535;inf
60;0.003046736802789951;inf
65;0.0028334643102753744;inf
70;0.0028822406433266635;inf
75;0.0031856254656420203;inf
80;0.0029873905894920063;inf
85;0.002727352782214042;inf
90;0.0032860862727557504;inf
95;0.0025772860729342626;inf
100;0.002558007071998189;inf
105;0.0024746992238446675;inf
110;0.002259973869031188;inf
115;0.0025612368913810273;inf
120;0.002223559353659158;inf
125;0.002347500206967838;inf
130;0.0021541543421319037;inf
135;0.002080646024067132;inf
140;0.0022861017998038985;inf
145;0.0020516335171267804;inf
150;0.0020382512288334934;inf
155;0.0019720601844541714;inf
160;0.0019377485888690215;inf
165;0.0020587778784217823;inf
170;0.0018584736324843013;inf
175;0.0018842167702686414;inf
180;0.001898765881804885;inf
185;0.0017051124296444658;inf
190;0.001717626786422708;inf
195;0.001812188525540923;inf
200;0.001677028606741914;inf
205;0.0015367854357317373;inf
210;0.0014869420033967857;inf
215;0.001514677426398837;inf
220;0.0014987261774685756;inf
225;0.001285137668701675;inf
230;0.0014812032320471278;inf
235;0.0014368586739124068;inf
240;0.0013606097012662688;inf
245;0.0012435996323181002;inf
250;0.0012362662342823914;inf
255;0.001095585907682677;inf
260;0.001226981047296027;inf
265;0.0012372495977219225;inf
270;0.0010332457475725834;inf
275;0.0010558062181576342;inf
280;0.0010725635503276228;inf
285;0.0010326621905794213;inf
290;0.000931993388473088;inf
295;0.0009216447856287741;inf
300;0.0009997552295836671;inf
